,Log_Pop,White,Black,Asian,WomenRatio,Poverty,Unemployment,Professional,Construction,PublicWork,SelfEmployed,RepRatio,RepWon
83,14.342283054581875,68.0,25.6,0.0,0.5124933801935391,21.3,9.9,27.5,13.7,18.1,2.7,0.6977738649226513,1
84,15.32660503804559,95.1,0.2,0.4,0.5167790134572798,12.6,5.8,30.1,10.5,11.7,8.6,0.7473336479471449,1
85,17.9420505306096,74.2,1.6,3.7,0.5050809497146805,10.5,3.1,37.6,8.7,8.2,5.7,0.6068474943388796,1
86,15.183480311333778,94.2,0.4,0.5,0.5109642050951306,15.8,6.1,29.8,9.7,13.1,8.2,0.7906411073145306,1
87,13.424428764037762,55.9,29.1,0.0,0.5213752956157904,26.4,9.4,25.9,18.4,19.0,7.0,0.6333062110116626,1
88,12.342630298678408,72.6,21.9,0.2,0.4815171351559492,19.6,5.7,24.5,16.3,23.7,2.8,0.7443130118289354,1
89,14.761862840863753,80.6,0.5,1.0,0.5092505939097257,15.7,5.1,27.5,11.2,13.2,9.1,0.6240228629066151,1
90,13.426264754702098,39.1,54.1,0.5,0.5093568313953488,29.4,10.1,30.1,8.9,24.7,3.4,0.4252427184466019,0
91,14.45731674646641,69.1,23.8,0.7,0.5244721049122028,21.5,4.5,33.6,7.8,18.7,5.3,0.5447250413028086,1
92,13.890834249389446,95.8,0.7,0.0,0.5114549045424621,22.3,5.3,22.3,12.1,11.5,7.9,0.780366692131398,1
93,14.630324012510892,94.8,0.6,0.8,0.507353810969599,15.4,5.5,27.7,13.2,13.4,9.1,0.8078216660148612,1
94,13.024447124040648,84.7,11.0,0.1,0.4972395583293327,19.3,6.6,30.1,17.5,22.6,4.3,0.790460435621726,1
95,14.55026580686874,59.4,34.9,1.1,0.520756918972991,25.1,9.5,28.9,10.7,17.2,5.2,0.6344445726150651,1
96,14.35493805208142,81.8,11.0,0.1,0.5078266679392957,18.5,7.1,26.3,17.5,14.2,6.3,0.6497774734679904,1
97,16.66963250183935,77.3,13.4,1.1,0.512940544481323,18.3,6.0,34.3,9.6,13.4,6.2,0.6561577366434751,1
98,15.922746984763185,85.0,1.3,1.8,0.5076063684218999,16.6,6.2,29.7,10.6,13.6,3.7,0.7636774061153294,1
99,15.588656083459004,43.2,48.9,0.7,0.5271114899143634,23.5,8.4,29.4,10.2,16.5,6.5,0.4449905940894472,0
100,14.067098185748383,73.0,22.7,0.1,0.515089722675367,18.0,6.8,26.0,13.4,20.2,6.9,0.7075822603719599,1
101,12.888933465134397,53.2,40.0,1.6,0.5202373104812129,13.2,6.4,18.6,12.6,23.7,3.8,0.5906871948929778,1
102,13.562003863651553,45.7,47.5,0.1,0.5413428146188193,32.6,12.2,27.4,17.0,26.9,4.5,0.4593495934959349,0
103,14.184565452446156,66.9,28.8,0.2,0.5118152524167562,24.4,9.0,34.2,9.0,21.9,7.0,0.6271088680605623,1
104,16.888005924007423,80.6,11.4,1.3,0.5103395392556191,16.3,5.1,36.0,10.4,16.0,5.6,0.6228016211912861,1
