"year","state","county","D","O","R","total"
"2008","MISSOURI","SHANNON",1637,126,2075,3838
"2008","MISSOURI","SHELBY",1114,36,2166,3316
"2008","MISSOURI","ST. CHARLES",84183,1796,102550,188529
"2008","MISSOURI","ST. CLAIR",1886,121,2981,4988
"2008","MISSOURI","ST. FRANCOIS",11540,350,12660,24550
"2008","MISSOURI","ST. LOUIS CITY",132925,1271,24662,158858
"2008","MISSOURI","ST. LOUIS COUNTY",333123,5026,221705,559854
"2008","MISSOURI","STE. GENEVIEVE",4979,114,3732,8825
"2008","MISSOURI","STODDARD",3899,191,9172,13262
"2008","MISSOURI","STONE",5029,211,11147,16387
"2008","MISSOURI","SULLIVAN",1173,89,1607,2869
"2008","MISSOURI","TANEY",6683,245,14736,21664
"2008","MISSOURI","TEXAS",3410,226,7215,10851
"2008","MISSOURI","VERNON",3381,163,5334,8878
"2008","MISSOURI","WARREN",6705,196,8675,15576
"2008","MISSOURI","WASHINGTON",4711,197,4706,9614
"2008","MISSOURI","WAYNE",2243,127,3784,6154
